genus,prop_endemic,species_number
Abelmoschus,0,3
Abildgaardia,1,2
Abrodictyum,0.3333333333333333,3
Abroma,1,1
Abrophyllum,1,1
Abrotanella,0.6666666666666666,3
Abrus,0,1
Abutilon,0.8333333333333334,24
Acacia,0.9763257575757576,1056
Acaena,0.3333333333333333,6
Acalypha,0.5,6
Acanthocarpus,1,7
Acanthocladium,1,1
Acanthus,0,2
Aceratium,1,5
Achnophora,1,1
Achyranthes,0.5,4
Acianthus,1,11
Acidonia,1,1
Aciphylla,1,2
Ackama,1,2
Acmella,0,1
Acomis,1,4
Acrachne,0,1
Acradenia,1,2
Acriopsis,1,1
Acronychia,0.8571428571428571,21
Acrophyllum,1,1
Acrostichum,0,2
Acrothamnus,1,4
Acrotriche,1,18
Actephila,0.9285714285714286,14
Actinobole,1,4
Actinodium,1,1
Actinoschoenus,1,5
Actinoscirpus,0,1
Actinostachys,0,2
Actinotus,1,19
Actites,1,1
Acunniana,1,1
Adansonia,1,1
Adelphacme,1,1
Adenanthera,0.5,2
Adenanthos,1,31
Adenia,0,1
Adenochilus,1,1
Adenosma,0.5,2
Adenostemma,0.5,2
Adiantum,0.25,8
Adriana,1,2
Aegialitis,0,1
Aegiceras,0,1
Aeginetia,1,1
Aenictophyton,1,2
Aerva,0,1
Aeschynomene,0.3333333333333333,3
Afrohybanthus,0.5,4
Agastachys,1,1
Agathis,0.6666666666666666,3
Agiortia,1,3
Aglaia,0.3333333333333333,12
Agonis,1,4
Agrostis,0.7272727272727273,11
Agrostocrinum,1,2
Aidia,0.6666666666666666,3
Ailanthus,0,2
Ajuga,1,2
Akania,1,1
Alangium,0.5,2
Alania,1,1
Albizia,0.2,5
Alchemilla,0,1
Alchornea,0.6666666666666666,3
Aldrovanda,1,1
Alectryon,0.8,15
Aleurites,0,2
Alexfloydia,1,1
Alexgeorgea,1,3
Alisma,0,1
Allittia,1,2
Allocasuarina,1,61
Allophylus,0,1
Allopterigeron,1,1
Allosyncarpia,1,1
Alloteropsis,0,2
Alloxylon,0.6666666666666666,3
Almaleea,1,5
Alocasia,0.5,2
Alphitonia,0.6,5
Alpinia,0.8,5
Alstonia,0.3333333333333333,6
Alternanthera,0.3333333333333333,6
Althaea,1,1
Althenia,0.8571428571428571,7
Aluta,1,5
Alyogyne,1,4
Alysicarpus,0.8333333333333334,6
Alyxia,0.7333333333333333,15
Amaracarpus,0,2
Amaranthus,0.8181818181818182,11
Ammannia,0.7,10
Ammobium,1,2
Amomum,0.5,2
Amorphophallus,0,2
Amorphospermum,1,1
Ampelocissus,0.5,4
Ampelopteris,0,1
Amperea,1,8
Amphibolis,1,2
Amphibromus,0.9,10
Amphineuron,0.75,4
Amphipogon,1,9
Amyema,0.8461538461538461,39
Amylotheca,0.5,2
Anacampseros,1,1
Anacolosa,0,1
Anarthria,1,6
Ancistrachne,1,2
Andersonia,1,29
Androcalva,1,33
Androstoma,1,1
Aneilema,0.75,4
Anemocarpa,1,3
Anemone,1,1
Angianthus,1,21
Angiopteris,0,1
Angophora,1,10
Anigozanthos,1,11
Aniseia,0,1
Anisomeles,0.8695652173913043,23
Anisopogon,1,1
Anisotome,1,1
Anodopetalum,1,1
Anoectochilus,1,1
Anogramma,0,1
Anopterus,1,2
Anthobolus,1,3
Anthocarapa,0,1
Anthocercis,1,10
Anthosachne,0.8,5
Anthotium,1,4
Anthotroche,1,3
Antiaris,0,1
Anticoryne,1,3
Antidesma,0.2,5
Antirhea,0.6666666666666666,3
Antrophyum,0.25,4
Aotus,1,17
Apalochlamys,1,1
Apatophyllum,1,5
Aphananthe,0,1
Aphanes,1,2
Aphanopetalum,1,2
Aphelia,1,6
Aphyllodium,0.8571428571428571,7
Aphyllorchis,1,2
Apium,0.6666666666666666,3
Apluda,0,1
Apodasmia,1,2
Apodytes,1,1
Aponogeton,1,11
Apostasia,0,1
Apowollastonia,1,7
Appendicula,1,1
Arabidella,1,7
Arachniodes,0,1
Araucaria,0.3333333333333333,3
Archeria,1,5
Archidendron,0.7,10
Archidendropsis,1,3
Archirhodomyrtus,1,1
Archontophoenix,1,6
Ardisia,0.6666666666666666,6
Arenga,0.6666666666666666,3
Areocleome,1,1
Argentipallium,1,5
Argophyllum,1,11
Argusia,0,1
Argyrodendron,0.75,4
Argyroglottis,1,1
Argyrotegium,0.5,4
Aristida,0.8793103448275862,58
Aristolochia,0.9230769230769231,13
Aristotelia,1,2
Arivela,0.9230769230769231,13
Arnhemia,1,1
Arnocrinum,1,3
Arrhenechthites,1,1
Artabotrys,1,1
Artanema,0,1
Arthragrostis,1,4
Arthraxon,0,2
Arthrochilus,0.9,10
Arthropodium,1,7
Arthropteris,0.25,4
Arthrostylis,1,1
Artocarpus,0,1
Arundinella,0.5,4
Arytera,0.4444444444444444,9
Asparagus,0,1
Asperula,1,21
Asplenium,0.3333333333333333,36
Astartea,1,22
Astelia,0.6666666666666666,3
Asteridea,1,9
Asterolasia,1,17
Asteromyrtus,0.5,6
Asterotrichion,1,1
Astonia,1,1
Astrebla,1,4
Astroloma,1,21
Astrotricha,1,19
Astus,1,4
Asystasia,0.5,2
Atalaya,0.9166666666666666,12
Atherosperma,1,1
Athertonia,1,1
Athroisma,0,1
Athrotaxis,1,2
Atkinsonia,1,1
Atractocarpus,0.8571428571428571,7
Atriplex,0.9354838709677419,62
Auranticarpa,1,6
Australina,0,1
Australopyrum,1,3
Austrobaileya,1,1
Austrobryonia,1,4
Austrobuxus,1,2
Austrochloris,1,1
Austrodolichos,1,1
Austromatthaea,1,1
Austromuellera,1,2
Austromyrtus,1,3
Austrosteenisia,0.75,4
Austrostipa,0.96875,64
Avicennia,0.5,2
Azanza,1,1
Azolla,0,2
Azorella,0.5,4
Babingtonia,1,10
Backhousia,1,13
Bacopa,0,2
Baeckea,0.9655172413793104,29
Baileyoxylon,1,1
Balanophora,0,2
Balanops,1,1
Balaustion,1,1
Balladonia,1,1
Ballantinia,1,1
Baloghia,0.6666666666666666,3
Baloskion,1,8
Bambusa,1,1
Banksia,0.9886363636363636,176
Barbarea,1,2
Barklya,1,1
Barongia,1,1
Barringtonia,0,4
Basedowia,1,1
Basilicum,0,1
Batis,0,1
Bauera,1,4
Bauhinia,0.6666666666666666,6
Baumea,1,1
Baxteria,1,1
Beaufortia,1,22
Bedfordia,1,3
Beilschmiedia,0.9090909090909091,11
Bellendena,1,1
Bellida,1,1
Belvisia,0,1
Benstonea,0.5,2
Benthamina,1,1
Bentleya,1,2
Berberidopsis,1,1
Bergia,0.9,10
Berrya,0.3333333333333333,3
Bertya,1,28
Berula,0,1
Beyeria,1,24
Billardiera,1,23
Biophytum,1,1
Bischofia,0,1
Blackallia,1,1
Blainvillea,0.6666666666666666,3
Blancoa,1,1
Blandfordia,1,4
Bleasdalea,1,1
Blechnum,0.65625,32
Blennodia,1,2
Blennospora,1,3
Blepharocarya,1,2
Blumea,0.3333333333333333,15
Blyxa,0,3
Bobea,1,1
Boea,1,2
Boehmeria,0,2
Boerhavia,0.4166666666666667,12
Bolbitis,0,3
Bolboschoenus,0,3
Bombax,0,1
Bonamia,1,16
Bonnaya,0.25,4
Boronia,1,152
Borya,1,12
Bosistoa,1,4
Bossiaea,1,79
Bothriochloa,0.7142857142857143,7
Botrychium,0,2
Bouchardatia,1,1
Bowenia,1,2
Brachychiton,0.9354838709677419,31
Brachyloma,1,16
Brachypeza,1,1
Brachyscias,1,1
Brachyscome,0.9885057471264368,87
Brachysola,1,2
Brachystelma,0,1
Brackenridgea,1,1
Brasenia,0,1
Brassiantha,1,1
Breynia,0,3
Bridelia,0.6,5
Brombya,1,2
Bromheadia,0,1
Bromus,0,1
Brownlowia,0,1
Brucea,0,1
Bruguiera,0,5
Brunonia,1,1
Brunoniella,0.6,5
Bryobium,0,3
Bubbia,1,4
Buchanania,0.6666666666666666,3
Buchnera,0.42857142857142855,7
Buckinghamia,1,2
Bulbine,1,7
Bulbophyllum,0.7058823529411765,34
Bulbostylis,0.6,5
Burchardia,1,6
Burmannia,0.3333333333333333,3
Burnettia,1,1
Bursaria,1,8
Butomopsis,0,1
Byblis,0.875,8
Cadaba,0,1
Cadellia,1,1
Cadetia,1,6
Caesalpinia,0.25,4
Caesia,0.8888888888888888,9
Cajanus,0.8125,16
Caladenia,0.9892086330935251,278
Calamphoreus,1,1
Calamus,0.625,8
Calandrinia,1,56
Calanthe,0,1
Calciphilopteris,0,1
Caldesia,0.6666666666666666,3
Caleana,0.9285714285714286,14
Calectasia,1,15
Callerya,0.6666666666666666,3
Callicarpa,0.16666666666666666,6
Callicoma,1,1
Callipteris,1,1
Callistachys,1,1
Callistemon,0.9545454545454546,44
Callitriche,0.4,5
Callitris,0.8947368421052632,19
Calocephalus,1,12
Calochilus,0.84,25
Calochlaena,0.5,2
Calomeria,1,1
Calophyllum,0.16666666666666666,6
Calorophus,1,2
Calostemma,1,3
Calothamnus,1,41
Calotis,1,26
Calycopeplus,1,5
Calymmodon,0,1
Calyptochloa,1,3
Calystegia,0.25,4
Calytrix,1,86
Camonea,1,1
Camptacra,0.5,2
Camptostemon,0,1
Campynema,1,1
Cananga,0,1
Canarium,0.4,5
Canavalia,0,4
Canscora,0,1
Cansjera,0,1
Capillipedium,0,2
Capparis,0.7619047619047619,21
Carallia,0,1
Cardamine,0.9230769230769231,13
Cardiopteris,0,1
Cardwellia,1,1
Carex,0.5357142857142857,56
Carinavalva,1,1
Carissa,0.75,4
Carmichaelia,1,1
Carnarvonia,1,1
Carpentaria,1,1
Carpha,0.75,4
Carpobrotus,0.75,4
Carronia,1,3
Cartonema,0.7142857142857143,7
Caryota,1,1
Casearia,0.8,5
Cassia,1,4
Cassinia,1,46
Cassytha,0.7368421052631579,19
Castanospermum,0,1
Castanospora,1,1
Casuarina,0.5,6
Catacolea,1,1
Catalepidia,1,1
Cathormion,0,1
Causonis,0,2
Caustis,1,7
Cayratia,0.2857142857142857,7
Cecarria,0,1
Celastrus,0.3333333333333333,3
Celmisia,1,8
Celtis,0.16666666666666666,6
Cenarrhenes,1,1
Cenchrus,0.8333333333333334,6
Centella,0,3
Centipeda,0.5555555555555556,9
Centotheca,0,2
Centranthera,0,2
Centratherum,1,1
Centrolepis,0.8181818181818182,22
Centropappus,1,1
Cephalaralia,1,1
Cephalipterum,1,1
Cephalomanes,0.5,2
Cephalosorus,1,1
Cephalotus,1,1
Ceratogyne,1,1
Ceratopetalum,0.875,8
Ceratophyllum,0,1
Ceratopteris,0,1
Cerbera,0.25,4
Ceriops,0,3
Ceropegia,0,1
Chaetanthus,1,3
Chamaecrista,0.6923076923076923,13
Chamaeraphis,1,1
Chamaescilla,1,5
Chamaexeros,1,4
Chamelaucium,1,11
Cheilanthes,0.6666666666666666,15
Cheilocostus,1,1
Cheiranthera,1,10
Cheirostylis,0.5,2
Chenopodium,1,9
Cheyniana,1,2
Chiloglottis,0.8461538461538461,26
Chiloschista,1,1
Chingia,1,1
Chionachne,0.5,2
Chionanthus,0.8,5
Chionochloa,1,2
Chisocheton,0,1
Chlaenosciadium,1,1
Chloanthes,1,4
Chloris,0.5,6
Chlorophytum,0,1
Chondropyxis,1,1
Chordifex,1,20
Choretrum,1,7
Choriceras,0.5,2
Chorilaena,1,1
Chorizandra,0.8,5
Chorizema,1,25
Christella,0,5
Christia,0,1
Chrysitrix,1,1
Chrysocephalum,1,9
Chrysopogon,0.7777777777777778,9
Chthonocephalus,1,7
Cinnamomum,0.8333333333333334,6
Cissampelos,0,1
Cissus,0.5384615384615384,13
Citronella,1,2
Citrus,1,6
Cladium,0,2
Cladopus,0,1
Claoxylon,0.4,5
Clausena,0,2
Clausospicula,1,1
Cleidion,0,1
Cleistanthus,0.6666666666666666,9
Cleistochloa,0.6666666666666666,3
Clematicissus,1,2
Clematis,0.6923076923076923,13
Clerodendrum,0.36363636363636365,11
Clitoria,1,1
Cnesmocarpon,0,1
Coatesia,1,1
Coccinia,0,1
Cochlospermum,0.6,5
Cocos,0,1
Codariocalyx,1,1
Codiaeum,0.5,2
Codonocarpus,1,3
Coelachne,0,1
Coelospermum,0.6,5
Coffea,0,1
Coix,1,1
Coldenia,0,1
Coleanthera,1,2
Coleocarya,1,1
Coleocoma,1,1
Colobanthus,0.42857142857142855,7
Colocasia,0,1
Colubrina,0.5,2
Colysis,1,1
Combretum,0,2
Comesperma,1,33
Commelina,0.5,10
Commersonia,0.9523809523809523,21
Commicarpus,0.6666666666666666,3
Connarus,0,1
Conospermum,1,52
Conostephium,1,12
Conostylis,1,45
Conothamnus,1,3
Convolvulus,1,11
Cooktownia,1,1
Coopernookia,1,6
Coprosma,0.8666666666666667,15
Corchorus,0.8484848484848485,33
Cordia,0,3
Cordyline,0.5555555555555556,9
Corokia,1,2
Coronidium,1,21
Correa,1,11
Corsia,1,1
Corunastylis,0.9661016949152542,59
Corybas,0.8888888888888888,27
Corymbia,0.7956989247311828,93
Corymborkis,0,1
Corynanthera,1,1
Corynocarpus,0.5,2
Corynotheca,1,6
Corypha,0,1
Cosmelia,1,1
Cossinia,1,1
Cotula,0.75,4
Craspedia,1,19
Crassula,0.45454545454545453,11
Crateva,0,1
Cratystylis,1,4
Cremnothamnus,1,1
Crenidium,1,1
Crepidomanes,0.2,10
Cressa,1,1
Crinum,0.9230769230769231,13
Crispiloba,1,1
Cristonia,1,2
Croninia,1,1
Crosslandia,1,1
Crotalaria,0.5,22
Croton,0.8333333333333334,30
Crowea,1,3
Crudia,0.5,2
Cryptandra,1,56
Cryptocarya,0.68,50
Cryptostylis,0.8,5
Ctenopterella,0.5,2
Ctenopteris,1,1
Cucumis,0.75,8
Cullen,0.9230769230769231,26
Cupaniopsis,0.875,16
Cuphonotus,1,2
Curculigo,1,1
Curcuma,0,1
Cuscuta,0.5,4
Cuttsia,1,1
Cyanicula,1,10
Cyanostegia,1,5
Cyanotis,0,1
Cyanthillium,0.3333333333333333,3
Cyathea,0.875,16
Cyathochaeta,1,6
Cyathodes,1,3
Cyathostemon,1,6
Cycas,0.9090909090909091,33
Cyclocarpa,0,1
Cyclophyllum,0.7777777777777778,9
Cyclosorus,0,1
Cycnogeton,0.75,8
Cymaria,0,1
Cymbidium,1,3
Cymbonotus,1,3
Cymbopogon,0.5555555555555556,9
Cymodocea,0.3333333333333333,3
Cynanchum,0.6363636363636364,11
Cynodon,1,4
Cynoglossum,0.5,2
Cynometra,0.3333333333333333,3
Cyperochloa,0,1
Cyperus,0.5619834710743802,121
Cyphanthera,1,9
Cypselocarpus,1,1
Cyrtandra,1,1
Cyrtococcum,0.25,4
Cyrtostylis,1,4
Cystopteris,0,1
Cytogonidium,1,1
Dactyliophora,1,1
Dactyloctenium,1,2
Dalbergia,0,3
Dallwatsonia,1,1
Damasonium,1,1
Dampiera,1,68
Danhatchia,0,1
Dansiea,1,2
Daphnandra,1,6
Dapsilanthus,0,3
Darlingia,1,2
Darwinia,1,51
Dasymalla,1,5
Dasypogon,1,3
Daucus,0,1
Davallia,0,2
Davidsonia,1,3
Daviesia,1,131
Debregeasia,1,1
Decaisnina,0.42857142857142855,7
Decalobanthus,0,1
Decaneuropsis,0,1
Decaschistia,1,3
Decaspermum,0.5,2
Decazesia,1,1
Deeringia,0,2
Delarbrea,1,1
Demorchis,1,2
Dendrobium,0.5,40
Dendrocnide,0.375,8
Dendroconche,1,1
Dendrolobium,0.6666666666666666,6
Dendromyza,0,1
Dendrophthoe,0.5,6
Dendrotrophe,0,1
Denhamia,1,13
Dennstaedtia,1,1
Dentella,0.8888888888888888,9
Deparia,0,1
Deplanchea,0,1
Derris,0,3
Deschampsia,0,4
Desmocladus,1,23
Desmodiopsis,1,1
Desmodium,0.5,4
Desmos,1,3
Deyeuxia,0.9705882352941176,34
Dianella,0.8695652173913043,23
Diaspasis,1,1
Dicarpidium,1,1
Dichanthium,0.4,5
Dichapetalum,0,2
Dichelachne,0.5,8
Dichondra,0,1
Dichopogon,1,3
Dichosciadium,1,1
Dichromochlamys,1,1
Dichrostachys,0.5,2
Dicksonia,1,3
Dicladanthera,1,2
Dicliptera,0.75,8
Dicranopteris,0,1
Dicrastylis,1,31
Dictymia,0,1
Dictyoneura,0,1
Didymanthus,1,1
Didymoglossum,0,4
Didymoplexis,0,2
Dielitzia,1,1
Dielsia,1,1
Dielsiodoxa,1,5
Dienia,1,6
Dietes,1,1
Digitaria,0.7222222222222222,36
Dillenia,0,1
Dillwynia,1,29
Dimeria,0,3
Dimocarpus,1,1
Dimorphocalyx,0,1
Dimorphocoma,1,1
Dinebra,0.8,5
Dinghoua,1,1
Dinosperma,1,4
Diocirea,1,4
Dioclea,0,1
Diodontium,1,1
Dioscorea,0.2,5
Diospyros,0.6190476190476191,21
Diplachne,0.5,2
Diplacrum,0,1
Diplarrena,1,2
Diplaspis,1,3
Diplatia,1,3
Diplazium,0.36363636363636365,11
Diplocaulobium,1,1
Diplocyclos,0,1
Diploglottis,0.8181818181818182,11
Diplolaena,1,15
Diplopeltis,1,5
Diplopterygium,0,1
Dipodium,0.8181818181818182,11
Dipteracanthus,1,3
Dipteris,0,1
Discaria,1,2
Dischidia,0,4
Diselma,1,1
Disphyma,1,1
Dissiliaria,1,5
Dissocarpus,1,4
Distichlis,1,1
Distimake,0.6666666666666666,3
Dithyrostegia,1,2
Diuris,1,99
Dockrillia,1,20
Dodonaea,0.9710144927536232,69
Dolichandrone,0.8,5
Donatia,0,1
Donella,0,1
Dopatrium,0,1
Doryanthes,1,2
Doryopteris,0,1
Doryphora,1,2
Drabastrum,1,1
Dracaena,0,1
Dracophyllum,1,7
Drakaea,1,10
Drosera,0.9290322580645162,155
Drummondita,1,10
Dryadodaphne,1,1
Drymoanthus,1,1
Drymophila,1,2
Drynaria,0,3
Dryopoa,1,1
Dryopteris,0.3333333333333333,3
Drypetes,0.75,4
Duboisia,0.75,4
Dubouzetia,1,2
Duma,1,3
Dunbaria,0.6666666666666666,3
Duperreya,1,3
Durringtonia,1,1
Dysoxylum,0.29411764705882354,17
Dysphania,0.8823529411764706,17
Ecdeiocolea,1,2
Echinochloa,0.8888888888888888,9
Echinopogon,0.7142857142857143,7
Echinostephia,1,1
Eclipta,0.3333333333333333,3
Ectrosia,0.7857142857142857,14
Ehretia,0.4,5
Eidothea,1,2
Einadia,0.75,4
Elachanthus,1,2
Elacholoma,1,2
Elaeagnus,0,1
Elaeocarpus,0.8666666666666667,30
Elaeodendron,0.3333333333333333,3
Elaphoglossum,0.5,2
Elatine,0.5,2
Elatostema,0.75,4
Elattostachys,1,5
Eleocharis,0.5151515151515151,33
Elephantopus,0,1
Elionurus,0.5,2
Elythranthera,1,2
Elytrophorus,0,1
Embadium,1,3
Embelia,0.6,5
Emblingia,1,1
Emmenosperma,0.3333333333333333,3
Empodisma,0.5,2
Enchylaena,0.5,2
Endiandra,0.8421052631578947,38
Endospermum,0,1
Enekbatus,1,10
Enhalus,0,1
Enicostema,0,1
Enneapogon,0.9375,16
Entada,0,2
Enteropogon,0.8333333333333334,6
Entolasia,0.5,4
Enydra,1,1
Epacris,1,53
Epiblema,1,1
Epilobium,0.35714285714285715,14
Epipogium,0,1
Epipremnum,0,2
Epitriche,1,1
Eragrostiella,0,1
Eragrostis,0.8135593220338984,59
Eremaea,1,14
Eremochloa,0.3333333333333333,3
Eremophea,1,2
Eremophila,1,234
Eremosyne,1,1
Eria,1,5
Eriachne,0.8775510204081632,49
Erichsenia,1,1
Ericksonella,1,1
Ericomyrtus,1,4
Erigeron,1,1
Eriocaulon,0.7777777777777778,36
Eriochilus,1,11
Eriochiton,1,1
Eriochlamys,1,4
Eriochloa,0.2,5
Eriosema,0,1
Eriostemon,1,2
Erodiophyllum,1,2
Erodium,1,5
Erycibe,0,1
Erymophyllum,1,5
Eryngium,0.875,8
Erythrina,0.2,5
Erythrophleum,1,1
Erythrorchis,1,1
Erythroxylum,1,2
Eschenbachia,1,2
Ethuliopsis,1,1
Etlingera,1,1
Eucalyptus,0.9804741980474198,717
Euchilopsis,1,1
Euchiton,0.25,8
Eucosia,1,1
Eucryphia,1,5
Eugenia,0,1
Eulalia,0.25,4
Eulophia,0,2
Eumachia,1,1
Euodia,1,2
Euonymus,0,1
Euphorbia,0.896551724137931,58
Euphrasia,1,20
Eupomatia,0.3333333333333333,3
Euroschinus,0,1
Eurychorda,1,1
Euryomyrtus,1,7
Eustrephus,0,1
Eutaxia,1,22
Evandra,1,2
Everistia,1,1
Evolvulus,0,1
Ewartia,1,4
Exacum,0,1
Excoecaria,0.75,4
Exocarpos,0.8181818181818182,11
Exocarya,1,1
Fagraea,0.6666666666666666,3
Falcataria,1,1
Faradaya,0,1
Fatoua,0,1
Feldstonia,1,1
Festuca,0.8,5
Ficinia,0,1
Ficus,0.4090909090909091,44
Fieldia,1,1
Fimbristylis,0.6444444444444445,90
Finlaysonia,0,1
Firmiana,0,1
Fitzwillia,1,1
Flacourtia,1,1
Flagellaria,0,1
Flemingia,0.4,5
Flickingeria,1,3
Flindersia,0.8,15
Floscopa,0,1
Floydia,1,1
Flueggea,0,2
Fontainea,1,6
Forstera,1,1
Franciscodendron,1,1
Frankenia,1,44
Franklandia,1,2
Freycinetia,0.2,5
Fuirena,0.6,5
Gahnia,0.88,25
Gaimardia,0.6666666666666666,3
Galactia,0.3333333333333333,3
Galbulimima,1,1
Galium,0.85,20
Ganophyllum,0,1
Garcinia,0.7777777777777778,9
Gardenia,1,19
Garnotia,0,1
Garuga,0,1
Gastrodia,0.8571428571428571,7
Gastrolobium,1,110
Gaultheria,0.8333333333333334,6
Geijera,0.6666666666666666,3
Geitonoplesium,0,1
Geleznowia,1,1
Geniostoma,0.6666666666666666,3
Genoplesium,1,1
Gentiana,1,4
Gentianella,1,14
Geococcus,1,1
Geodorum,0,1
Geophila,0,1
Georgeantha,1,1
Geosiris,1,1
Geranium,0.45454545454545453,11
Germainia,0.3333333333333333,3
Geum,0.5,2
Gilberta,1,1
Gilesia,1,1
Gillbeea,0.5,2
Gilruthia,1,1
Gingidia,1,3
Gleichenia,0.5,6
Glinus,0.5,4
Glischrocaryon,1,5
Globba,0,1
Glochidion,0.4666666666666667,15
Glossocardia,0.6666666666666666,3
Glossocarya,0.6666666666666666,3
Glossodia,1,2
Glossostigma,0.4,5
Glyceria,1,3
Glycine,0.9230769230769231,26
Glycocystis,1,1
Glycosmis,0,2
Glycyrrhiza,1,1
Gmelina,0.5,6
Gnaphalium,1,2
Gnephosis,1,16
Gnetum,0,1
Gomphandra,0,1
Gompholobium,0.9565217391304348,46
Gomphrena,1,32
Goniophlebium,0,2
Goniothalamus,1,1
Gonocarpus,0.8888888888888888,36
Goodenia,0.9806763285024155,207
Goodia,1,6
Goodyera,0.5,2
Gossia,0.95,20
Gossypium,1,17
Gouania,0.5,2
Grammitis,1,4
Grammosolen,1,2
Granitites,1,1
Graptophyllum,0.75,4
Grastidium,1,5
Gratiola,0.4,5
Gratwickia,1,1
Grevillea,0.989100817438692,367
Grewia,0.42857142857142855,14
Grona,0.6363636363636364,11
Guettarda,0,1
Guichenotia,1,17
Guilfoylia,1,1
Guioa,0.7142857142857143,7
Gunnera,1,1
Gunnessia,1,1
Gunniopsis,1,14
Gymnanthera,0.5,2
Gymnema,0.9,10
Gymnoschoenus,1,2
Gymnosporia,0,1
Gymnostachys,1,1
Gymnostoma,1,1
Gynatrix,1,2
Gynochthodes,0.8,10
Gynura,1,1
Gyrocarpus,0,1
Gyrostemon,1,13
Habenaria,0.6,5
Hackelia,1,2
Hackelochloa,0,1
Haeckeria,1,2
Haegiela,1,1
Haemodorum,0.9333333333333333,30
Hakea,1,151
Halfordia,0,1
Halgania,0.9333333333333333,15
Halodule,0.3333333333333333,3
Halophila,0.2857142857142857,7
Haloragis,1,23
Haloragodendron,1,6
Hanguana,0,1
Hannafordia,1,3
Hanslia,0,1
Haplopteris,0,2
Haptotrichion,1,2
Hardenbergia,0.6666666666666666,3
Harmogia,1,1
Harmsiodoxa,1,3
Harnieria,1,2
Harpullia,0.75,8
Harrisonia,0,1
Hedraianthera,1,1
Hedycarya,1,2
Hedyotis,0.5,4
Hedyscepe,1,1
Helichrysum,1,4
Helicia,0.8888888888888888,9
Helicteres,0.7333333333333333,15
Heliotropium,0.8977272727272727,88
Helipterum,1,1
Helmholtzia,1,2
Helminthostachys,0,1
Hemarthria,1,1
Hemiandra,1,9
Hemichroa,1,1
Hemigenia,1,53
Hemigraphis,0,1
Hemiphora,1,5
Hemisteptia,0,1
Hemmantia,1,1
Hensmania,1,3
Herissantia,0,1
Heritiera,0,1
Hernandia,0.5,4
Herpolirion,0,1
Hetaeria,0,1
Heterachne,1,3
Heteropogon,0,2
Heterostemma,0.5,2
Heterozostera,1,3
Hexaspora,1,1
Hibbertia,0.9927797833935018,277
Hibiscus,0.8970588235294118,68
Hicksbeachia,1,2
Hierochloe,0.75,4
Hildegardia,1,1
Hippocratea,1,1
Histiopteris,0,1
Hiya,0,1
Hodgkinsonia,1,1
Hodgsoniola,1,1
Holcolemma,1,1
Hollandaea,1,4
Homalanthus,0.6666666666666666,3
Homalium,1,3
Homalocalyx,1,11
Homalosciadium,1,1
Homalospermum,1,1
Homopholis,1,1
Homoranthus,1,31
Hookerochloa,1,2
Hopkinsia,1,2
Hoppea,0,1
Hornstedtia,0,1
Horsfieldia,1,1
Hovea,1,38
Howea,1,2
Howittia,1,1
Hoya,0.2857142857142857,7
Huberantha,0,1
Hugonia,0,1
Hullsia,1,1
Humata,0.5,2
Huperzia,0,2
Huxleya,1,1
Hyalochlamys,1,1
Hyalosperma,1,9
Hybanthus,1,8
Hydnophytum,0.5,2
Hydriastele,0.3333333333333333,3
Hydrilla,0,1
Hydrocharis,0,1
Hydrocotyle,0.9,50
Hydrolea,0,1
Hygrochloa,1,2
Hygrophila,1,1
Hylandia,1,1
Hymenachne,1,1
Hymenasplenium,0.3333333333333333,3
Hymenophyllum,0.5,24
Hymenosporum,0,1
Hyparrhenia,0,1
Hypericum,0,3
Hypertelis,0,1
Hypocalymma,1,26
Hypoestes,0.5,2
Hypolaena,1,8
Hypolepis,0.2857142857142857,7
Hypolytrum,0,2
Hypoxis,0.8571428571428571,7
Hypserpa,0.5,4
Hypsophila,1,2
Hysterobaeckea,1,11
