genus,plant_growth_form,dispersal_appendage,dispersal_syndrome,seed_dry_mass
Caladenia,herb mallee shrub,NA,barochory,0.0019445875
Cyanicula,herb,NA,anemochory,0.0038
Calamus,palmoid,NA,zoochory,182.942
Calanthe,herb,NA,NA,NA
Caldesia,herb,NA,NA,5.5368
Caleana,herb,NA,barochory,0.001
Calectasia,subshrub,NA,barochory,7.5267857
Calochilus,herb,NA,barochory,0.0017333333333333335
Calochlaena,herb,NA,anemochory,0.001
Calophyllum,tree,NA,hydrochory,3886.746
Calorophus,herb,NA,zoochory,NA
Calostemma,herb,NA,barochory,NA
Calymmodon,fern,NA,NA,NA
Calystegia,herb,NA,zoochory,35.294313455
Canscora,herb,NA,NA,0.0576
Capillipedium,tussock,none,epizoochory,0.3812
Cardamine,herb,none,zoochory,0.38017816666666665
Carex,tussock,none,zoochory,1.1520062636792452
Carinavalva,herb,NA,NA,0.1604
Carissa,shrub,NA,endozoochory,68.86838013333333
Carmichaelia,shrub,NA,NA,15.6714286
Carpentaria,tree,NA,zoochory,NA
Carpobrotus,shrub,none,endozoochory,0.19166666666666668
Carronia,climber_woody,NA,endozoochory,141
Caryota,tree,NA,NA,NA
Casearia,tree,NA,endozoochory,6.666666666666667
Cassinia,tree,pappus,anemochory,0.11660010681818182
Catacolea,herb,NA,NA,NA
Cecarria,shrub,NA,NA,NA
Schenkia,herb,NA,zoochory,0.047
Centipeda,herb,none,undefined,0.09709565
Centratherum,herb,NA,NA,NA
Centrolepis,tussock,bristles,undefined,0.043728461538461535
Centropappus,tree,pappus,anemochory,0.5276
Cerbera,tree,NA,NA,13000
Ceropegia,herb,NA,NA,NA
Chaetanthus,herb,NA,NA,0.562
Schoenus,tussock,none,zoochory,0.715695534883721
Chamaexeros,herb,NA,NA,NA
Pachycladon,herb,NA,NA,1.4896
Cheilanthes,herb,NA,barochory,0.16262000000000001
Cheiranthera,subshrub,none,zoochory,2.9421
Cheirostylis,herb,NA,NA,NA
Chenopodium,subshrub,NA,zoochory,0.4299272727272727
Dysphania,herb,NA,epizoochory,0.09825806451612903
Chiloglottis,herb,NA,anemochory,0.001
Chiloschista,herb,NA,NA,NA
Chingia,fern,NA,NA,NA
Chionachne,tussock,none,anemochory,NA
Chionanthus,tree,NA,endozoochory,369.923
Chionochloa,tussock,NA,epizoochory,1.9086444444444444
Chisocheton,tree,NA,zoochory,3600
Chloris,tussock,none,epizoochory,0.23641428571428572
Chlorophytum,herb,NA,barochory,4.26
Chordifex,herb,elaiosome,myrmecochory,0.7275025
Chorilaena,tree,NA,NA,2.186
Christella,herb,NA,anemochory,0.001
Citrus,tree,NA,endozoochory,18.08
Cladopus,herb,NA,NA,NA
Claoxylon,tree,fleshy_reward,myrmecochory zoochory,10.42725
Clausena,tree,NA,NA,72
Arivela,subshrub,elaiosome,barochory,1.1360931
Areocleome,herb,NA,NA,0.21672
Coatesia,tree,NA,NA,NA
Coccinia,herb,NA,NA,11.793028571428572
Cochlospermum,tree,NA,anemochory,38.17653333333333
Cocos,palmoid,NA,hydrochory,402000
Codonocarpus,tree,aril,zoochory,3.1549963636363634
Coleocarya,herb,NA,NA,NA
Coleocoma,subshrub,NA,NA,0.6316
Colocasia,herb,NA,NA,NA
Colubrina,tree,NA,NA,30.7448
Colysis,fern,NA,NA,NA
Commicarpus,subshrub,NA,NA,10.136
Cooktownia,herb,NA,NA,NA
Coprosma,tree,none,zoochory,15.8430685375
Cordia,tree,NA,endozoochory,341.9209
Corokia,shrub,NA,NA,NA
Correa,tree,none,zoochory,8.801688971428572
Corsia,herb,NA,NA,NA
Corunastylis,herb,NA,anemochory,0.001
Corybas,herb,NA,barochory,0.001
Corymbia,tree,wings,zoochory,9.209177763204748
Corymborkis,herb,NA,anemochory,0.001
Corypha,tree,NA,zoochory,NA
Cotula,herb,none,zoochory,0.15415333333333334
Crateva,tree,NA,NA,NA
Cratystylis,shrub,NA,anemochory,2.1252
Crenidium,shrub,NA,NA,NA
Croton,tree,fleshy_reward,myrmecochory,12.1554017
Crowea,subshrub,fleshy_reward,zoochory,6.104490654205607
Sporobolus,tussock,none,epizoochory,0.1163037037037037
Phyllanthera,climber_woody,NA,NA,NA
Cryptostylis,herb,NA,barochory,0.0010115
Ctenopterella,fern,NA,NA,NA
Ctenopteris,fern,NA,anemochory,NA
Cucumis,herb,NA,barochory endozoochory,17.345525714285714
Cuphonotus,herb,NA,zoochory,0.4418
Cyanthillium,shrub,wing_or_plume,barochory,0.86
Cyathea,tree,NA,barochory,0.001
Cyclosorus,fern herb,NA,anemochory,NA
Cycnogeton,herb,NA,undefined,6.29834
Cymbidium,herb,NA,anemochory,NA
Cymbonotus,herb,none,zoochory,2.28
Cymodocea,herb,NA,NA,NA
Cynanchum,subshrub,NA,epizoochory,7.177341166666666
Cynoglossum,herb,hooks,zoochory,3.3614
Cyphanthera,subshrub,none,zoochory,1.74489
Cypselocarpus,herb shrub,NA,NA,NA
Cyrtostylis,herb,NA,anemochory,0.003
Cystopteris,fern,NA,anemochory,NA
Cytogonidium,herb,NA,NA,5.9701195
Dactyliophora,shrub,NA,NA,NA
Dactyloctenium,tussock,none,epizoochory,0.3078666666666667
Damasonium,herb,NA,hydrochory,0.26439999999999997
Danhatchia,herb,NA,NA,NA
Dapsilanthus,herb,NA,NA,0.13876
Davallia,fern,NA,anemochory,NA
Humata,fern,NA,NA,NA
Dockrillia,herb,NA,anemochory,0.0016
Dendrobium,herb,NA,barochory,0.0053934
Debregeasia,shrub tree,NA,NA,NA
Decaisnina,shrub,NA,NA,NA
Decaneuropsis,shrub,NA,NA,NA
Decaspermum,tree,NA,endozoochory,17
Deeringia,climber_woody shrub,NA,endozoochory,0.184
Delarbrea,tree,NA,zoochory,130.36666666666667
Demorchis,herb,NA,NA,NA
Dendromyza,shrub,NA,NA,NA
Dendrotrophe,shrub,NA,NA,NA
Dennstaedtia,fern herb,NA,anemochory,NA
Derris,shrub,NA,hydrochory,31.441314374999997
Deschampsia,tussock,none,epizoochory,0.3441984615384615
Desmocladus,herb tussock,NA,NA,5.629066666666667
Deyeuxia,tussock,none,undefined,0.40975384615384614
Dichapetalum,tree,aril,NA,57.82
Dichelachne,tussock,none,zoochory,0.3325981651376147
Dicksonia,tree,NA,anemochory,0.001
Dicliptera,shrub,NA,NA,1.7024
Dicranopteris,fern herb,NA,anemochory,NA
Dictymia,fern,NA,NA,NA
Didymanthus,shrub,NA,NA,NA
Didymoplexis,herb,NA,NA,4
Dielsia,herb,NA,NA,NA
Dienia,herb,NA,NA,NA
Dietes,herb,NA,NA,NA
Dimeria,tussock,none,anemochory,0.0864
Dinebra,tussock,none,epizoochory,0.1508
Dinosperma,tree,NA,NA,NA
Diodontium,shrub,NA,NA,NA
Diplatia,shrub,NA,endozoochory,NA
Diplazium,herb,NA,anemochory,0.001
Diplocaulobium,herb,NA,NA,NA
Diplocyclos,herb,NA,endozoochory,13.2760279
Diplolaena,shrub,NA,NA,9.524824244444444
Diplopterygium,fern,NA,NA,NA
Dipodium,herb,NA,barochory,0.0015566666666666667
Dipteris,fern,NA,NA,NA
Discaria,shrub,NA,barochory,4.546866675
Dischidia,climber_herbaceous,NA,NA,NA
Disphyma,subshrub,NA,hydrochory,11.072733333333334
Dissocarpus,subshrub,NA,epizoochory,2.309
Distichlis,herb,none,epizoochory,1.0992
Diuris,tussock,NA,barochory,0.005143057142857143
Doryopteris,fern herb,NA,NA,NA
Calciphilopteris,fern,NA,NA,NA
Drabastrum,shrub,NA,zoochory,0.2456
Drakaea,herb,NA,NA,NA
Drosera,herb,none,zoochory,0.05400975903614458
Drummondita,subshrub,NA,NA,4.92666665
Drymoanthus,herb,NA,NA,NA
Drynaria,fern herb,NA,NA,NA
Dryopoa,tussock,none,epizoochory,1.7484
Dryopteris,fern,NA,NA,NA
Duboisia,tree,NA,endozoochory,1.4666000000000001
Dysoxylum,tree,fleshy_reward,zoochory,1009.9621428571429
Ecdeiocolea,tussock,NA,NA,12.4016
Echinopogon,tussock,none,zoochory,0.65082
Eclipta,herb,wing_or_plume,zoochory,0.7807444444444445
Ectrosia,tussock,none,anemochory,0.03028
Ehretia,tree,NA,zoochory,26.646
Einadia,subshrub,none,zoochory,0.5627571428571428
Elaeocarpus,tree,NA,zoochory,1145.497904347826
Elaphoglossum,fern,NA,NA,NA
Elatine,herb,NA,hydrochory,0.0681111
Elephantopus,herb,NA,NA,1.3715199999999999
Elythranthera,herb,NA,NA,0.005
Elytrophorus,tussock,none,epizoochory,0.1237
Embelia,shrub,NA,endozoochory,49.5265244
Emmenosperma,tree,NA,NA,27.904799999999998
Empodisma,herb,NA,zoochory,0.9984142857142857
Enchylaena,subshrub,aril,zoochory,9.5666
Enhalus,herb,NA,NA,NA
Enneapogon,tussock,pappus,epizoochory,0.672484375
Enteropogon,tussock,none,anemochory,1.0416
Enydra,herb,NA,NA,NA
Epiblema,herb,NA,NA,NA
Epipogium,herb,NA,NA,NA
Epipremnum,shrub,NA,endozoochory,18
Eragrostiella,tussock,none,anemochory,0.0468
Eragrostis,tussock,none,undefined,0.08088325
Eremophea,shrub,NA,NA,21.8
Eriachne,tussock,none,epizoochory,1.1104117647058824
Ericksonella,herb,NA,NA,NA
Eriocaulon,herb tussock,NA,epizoochory,0.03598664814814815
Eriochilus,herb,NA,anemochory,0.003
Eriochiton,subshrub,NA,epizoochory,8.348
Eriostemon,tree,aril,zoochory,15.240872727272727
Erythrina,tree,NA,zoochory,366.59785714444445
Erythrorchis,herb,NA,NA,NA
Ethuliopsis,herb subshrub,NA,NA,NA
Etlingera,herb,NA,NA,NA
Eucalyptus,tree,wings,undefined,4.135045605672445
Eucosia,herb,NA,NA,NA
Eulalia,tussock,none,zoochory,0.2724
Eulophia,herb,NA,NA,NA
Euodia,tree,NA,ballistic myrmecochory,7.002800000000001
Euphorbia,tree,elaiosome,zoochory,2.9930247625
Eurychorda,tussock,NA,zoochory,0.4092
Exacum,herb,NA,NA,NA
Fagraea,tree,NA,NA,1.2
Faradaya,climber_woody tree,NA,endozoochory,6283
Festuca,tussock,bristles,epizoochory,1.7470666666666665
Finlaysonia,climber_woody,NA,NA,NA
Flacourtia,tree,NA,NA,NA
Flickingeria,herb,NA,NA,NA
Flindersia,tree,wing_or_plume,anemochory,74.944025
Frankenia,subshrub,NA,epizoochory,0.352984
Freycinetia,climber_woody,NA,endozoochory,0.1476
Gaimardia,herb,NA,NA,0.0632
Garcinia,tree,NA,NA,NA
Gastrodia,herb,NA,anemochory,NA
Geijera,tree,NA,zoochory,21.806207999999998
Geleznowia,subshrub,NA,NA,10.40255
Geniostoma,tree,NA,NA,0.37329999999999997
Genoplesium,herb,NA,anemochory,NA
Gentiana,herb,NA,NA,NA
Gentianella,herb,none,zoochory,0.28249761904761905
Geococcus,herb,NA,zoochory,0.1866
Geodorum,herb,NA,NA,NA
Georgeantha,herb,NA,NA,NA
Germainia,tussock,none,anemochory,NA
Gleichenia,fern,NA,barochory,0.001
Glinus,herb shrub,elaiosome,epizoochory,0.0646608695652174
Glossocardia,herb,NA,epizoochory,0.987
Glossocarya,climber_woody shrub,NA,NA,1.638
Glossodia,herb,NA,barochory,0.062066666666666666
Glyceria,tussock,none,undefined,1.5324
Glycosmis,tree,NA,endozoochory,82
Goniophlebium,fern,NA,NA,NA
Gouania,tree,NA,anemochory,0.78
Oreogrammitis,fern,NA,NA,NA
Notogrammitis,fern,NA,anemochory,NA
Grammitis,fern,NA,anemochory,NA
Grammosolen,shrub,NA,zoochory,1.104
Granitites,shrub,NA,NA,NA
Grastidium,herb,NA,NA,NA
Grewia,tree,NA,zoochory,41.66506666666667
Gunnessia,climber_woody,NA,NA,NA
Gunniopsis,shrub,NA,zoochory,0.30852799999999997
Gymnanthera,shrub,NA,anemochory,NA
Gymnosporia,shrub tree,NA,NA,NA
Gymnostachys,tussock,NA,zoochory,179.3
Gynura,herb,NA,NA,2.366
Gyrostemon,tree,NA,zoochory,1.2149801571428571
Habenaria,herb,NA,NA,NA
Hackelochloa,tussock,none,anemochory,NA
Halfordia,tree,NA,NA,NA
Halodule,herb,NA,NA,NA
Halophila,herb,none,hydrochory,NA
Tecticornia,subshrub,NA,hydrochory,11.6676432
Harmsiodoxa,herb,NA,zoochory,0.49938333333333335
Hedyscepe,tree,NA,NA,NA
Helminthostachys,herb,NA,anemochory,0.001
Hemisteptia,herb,NA,NA,NA
Hernandia,tree,NA,NA,NA
Hetaeria,herb,NA,NA,NA
Heterachne,tussock,none,anemochory,0.17085233333333333
Heteropogon,tussock,none,zoochory,3.534249411764706
Heterostemma,climber_woody,NA,NA,NA
Heterozostera,herb,NA,hydrochory,NA
Hibbertia,tree,none,zoochory,6.528932313930349
Hibiscus,tree,NA,zoochory,9.252849775714285
Hierochloe,tussock,none,epizoochory,0.6826
Histiopteris,herb,NA,barochory,0.001
Homalium,tree,NA,NA,NA
Hopkinsia,herb,NA,NA,NA
Hovea,tree,none,zoochory,25.00387890233463
Howea,tree,NA,NA,NA
Hoya,subshrub,wing_or_plume,anemochory,2.7081
Hugonia,climber_woody shrub tree,NA,NA,NA
Huperzia,lycophyte,NA,anemochory,NA
Hybanthus,shrub,elaiosome,zoochory,5.1499875
Hydriastele,tree,NA,NA,NA
Hydrilla,herb,NA,epizoochory,NA
Hydrocharis,herb,NA,NA,NA
Melicytus,tree,none,zoochory,9.313566153846153
Hymenasplenium,fern,NA,NA,NA
Pterostylis,herb,NA,barochory,0.0023899
Hymenophyllum,fern,NA,barochory,0.001
Hymenosporum,tree,NA,anemochory,5.763371428571428
Hypertelis,herb,NA,barochory,0.018
Hypolaena,herb,NA,zoochory,7.120297725
Hypolepis,herb,NA,anemochory,0.001
Hiya,fern,NA,NA,NA
Ichnocarpus,climber_woody,NA,anemochory,27
Ileostylus,shrub,NA,NA,NA
Illigera,tree,NA,NA,NA
Indigastrum,herb,NA,barochory,3.6692
Indigofera,subshrub,none,zoochory,4.235615609740259
Inocarpus,tree,NA,NA,NA
Irenepharsus,herb,NA,zoochory,0.13786666666666667
Ischaemum,tussock,none,hydrochory,1.056255
Isoetes,tussock,NA,undefined,0.001
Kleinhovia,tree,NA,NA,8.9
Koeleria,tussock,NA,epizoochory,0.29592
Kopsia,tree,NA,NA,NA
Laccospadix,tree,NA,NA,NA
Lachnagrostis,tussock,none,epizoochory,0.125
Lastreopsis,herb,NA,anemochory,NA
Launaea,herb,NA,NA,NA
Lecanopteris,fern,NA,NA,NA
Leea,tree,NA,endozoochory,34.884
Leersia,tussock,none,epizoochory hydrochory,0.9135
Leionema,tree,none,zoochory,3.4769683857142857
Lepidium,subshrub,NA,epizoochory,0.9571534615384616
Lepidobolus,herb,NA,zoochory,NA
Lepidorrhachis,tree,NA,NA,NA
Althenia,herb,NA,hydrochory,0.166
Leporella,herb,NA,anemochory,0.003
Leptaspis,tussock,none,anemochory,NA
Leptinella,herb,none,zoochory,0.2552
Leptocarpus,herb,NA,zoochory,0.905275
Leptoceras,herb,NA,anemochory,0.001
Leptochilus,fern,NA,NA,NA
Leptochloa,tussock,none,epizoochory,0.0856
Diplachne,tussock,none,epizoochory,0.3084
Leptopteris,fern,NA,NA,NA
Leptospermum,tree,none,undefined,0.20018644168831168
Lepturus,tussock,none,anemochory,NA
Lepyrodia,herb,NA,zoochory,0.26618261428571427
Licuala,tree,NA,endozoochory,70
Lindsaea,herb,NA,barochory,0.001
Linospadix,tree,NA,zoochory,182.72894117647058
Linum,herb,NA,zoochory,1.0719636363636362
Livistona,tree,NA,zoochory,638.5196266666667
Logania,subshrub,NA,zoochory,0.33879694375
Orianthera,subshrub,NA,zoochory,0.25982666666666665
Lomariopsis,fern,NA,NA,NA
Lordhowea,shrub,NA,NA,NA
Loxocarya,herb,NA,NA,7.1132
Luffa,herb,NA,NA,56.878652
Luisia,herb,NA,NA,NA
Lunasia,tree,NA,NA,NA
Luvunga,tree,NA,NA,NA
Luzula,tussock,none,zoochory,0.39931086
Lycium,shrub,NA,endozoochory,1.3824
Lyginia,herb,NA,NA,3.3653179
Lyperanthus,herb,NA,anemochory,0.001
Lysimachia,herb,NA,zoochory,0.2865311
Macarthuria,subshrub,NA,myrmecochory,0.2
Machaerina,tussock,none,zoochory,2.0135
Maclura,shrub tree,NA,zoochory,8.6982
Macrothelypteris,fern herb,NA,NA,NA
Maesa,tree,NA,NA,0.4296
Maireana,subshrub,wings,zoochory,16.462352234666668
Malaccotristicha,herb,NA,NA,NA
Malacocera,subshrub,NA,epizoochory,5.701466666666667
Mammea,tree,NA,NA,14000
Marianthus,shrub,NA,zoochory,2.02937746
Gymnema,subshrub,NA,anemochory,9.07
Leichhardtia,subshrub,hairs,endozoochory,14.797622222222223
Marsilea,herb,NA,hydrochory,0.0032500000000000003
Maundia,herb,NA,NA,NA
Medicosma,tree,NA,NA,NA
Melaleuca,tree,NA,anemochory,0.2242557145480226
Melanostachya,herb,NA,NA,NA
Melia,tree,NA,zoochory,323.32064285714284
Melicope,tree,none,endozoochory,15.865543666964282
Melodinus,climber_woody,NA,endozoochory,63.701499999999996
Menkea,herb,NA,zoochory,0.018619999999999998
Meryta,tree,NA,NA,26.71895
Mesomelaena,herb,NA,NA,NA
Mesua,tree,NA,NA,NA
Metrosideros,tree,NA,NA,NA
Micraira,tussock,none,anemochory,NA
Microchloa,herb,NA,NA,0.1038
Microcybe,subshrub,NA,zoochory,1.9289999999999998
Microlaena,tussock,none,undefined,4.6016615384615385
Microlepia,fern herb,NA,NA,NA
Microlepidium,herb,NA,epizoochory,0.0752
Micromelum,tree,NA,NA,22
Micropera,herb,NA,NA,NA
Microseris,herb,pappus,epizoochory,2.5003176470588233
Microsorum,fern herb,NA,anemochory,NA
Zealandia,fern,NA,anemochory,0.001
Dendroconche,fern,NA,anemochory,NA
Taeniophyllum,herb,NA,NA,NA
Microtis,herb,NA,barochory,0.0017333333333333333
Millettia,tree,NA,barochory,7869.9161167
Mischarytera,tree,NA,NA,NA
Mitrasacme,herb,NA,zoochory,0.035453846153846155
Adelphacme,herb,NA,NA,NA
Mitreola,herb,NA,hydrochory,0.0078
Mnesithea,tussock,none,myrmecochory,7.3831066666666665
Mobilabium,herb,NA,NA,NA
Momordica,herb,NA,NA,82.03653446
Monachather,tussock,NA,epizoochory,2.2242817500000003
Monococcus,shrub,NA,NA,NA
Monogramma,fern,NA,NA,NA
Muehlenbeckia,subshrub,NA,endozoochory,5.91045505
Muellerargia,herb,NA,NA,NA
Muiriantha,subshrub,NA,NA,NA
Mullerochloa,graminoid herb,NA,NA,NA
Murraya,tree,NA,NA,75.38086204999999
Myoporum,tree,none,zoochory,10.622764285714286
Myrsine,tree,NA,zoochory,27.58786178
Najas,herb,NA,zoochory,2.6441489
Negria,tree,NA,NA,NA
Neisosperma,tree,NA,zoochory,595
Nematolepis,tree,none,zoochory,2.0885142857142855
Neoalsomitra,herb,NA,NA,NA
Neobassia,subshrub,NA,epizoochory,3.2809999999999997
Neobyrnesia,shrub,NA,NA,NA
Neololeba,graminoid herb,NA,NA,NA
Nepenthes,subshrub,NA,NA,NA
Nephrolepis,fern herb,NA,anemochory,NA
Nervilia,herb,NA,NA,NA
Nestegis,tree,NA,endozoochory,NA
Nicotiana,shrub tree,NA,zoochory,0.12677924705882354
Nitraria,shrub,NA,endozoochory,42.696000000000005
Normanbya,tree,NA,zoochory,NA
Nothoalsomitra,herb,NA,NA,NA
Notochloe,herb,NA,NA,NA
Nymphaea,herb,NA,epizoochory,2.9857345
Oberonia,herb,NA,NA,NA
Ochrosia,tree,NA,zoochory,NA
Octarrhena,herb,NA,NA,NA
Oeceoclades,herb,NA,NA,NA
Oleandra,fern,NA,NA,NA
Olearia,tree,pappus,anemochory,0.7193003792857143
Ophioglossum,herb,NA,anemochory,0.001
Oraniopsis,tree,NA,NA,1800
Orthoceras,herb,NA,anemochory,0.0016950000000000001
Oryza,tussock,none,anemochory,10.96521536451613
Osteocarpum,shrub,wings,zoochory,1.7239933333333333
Ottelia,herb,NA,hydrochory,0.1854
Owenia,tree,NA,zoochory,3722.158126
Oxalis,shrub,NA,undefined,0.8610071428571429
Oxychloris,tussock,none,epizoochory,0.6672
Pachymitus,herb,NA,zoochory,NA
Pachystoma,herb,NA,NA,NA
Pandanus,tree,NA,zoochory,24598.58
Papistylus,shrub,NA,NA,NA
Paraceterach,fern herb,NA,NA,NA
Prasophyllum,herb,none,barochory,0.0038239235294117648
Parsonsia,climber_woody tree,wing_or_plume,endozoochory,9.427965
Passiflora,herb,NA,zoochory,15.258
Pecteilis,herb,NA,NA,NA
Pellaea,tussock,NA,anemochory,0.001
Pentaceras,tree,NA,NA,NA
Pentalepis,shrub,NA,NA,2.2603999999999997
Pentapogon,tussock,bristles,epizoochory,0.80856
Peristeranthus,herb,NA,NA,NA
Peristylus,herb,NA,NA,NA
Perotis,tussock,none,epizoochory,0.2536
Phaius,herb,NA,NA,NA
Phalaenopsis,herb,NA,NA,NA
Phebalium,tree,none,zoochory,1.8648749117647059
Pheidochloa,tussock,none,anemochory,NA
Pheladenia,herb,NA,anemochory,0.001
Philotheca,tree,none,zoochory,6.2875724
Phlebocarya,herb,NA,NA,NA
Phlegmariurus,lycophyte,NA,anemochory,NA
Phlegmatospermum,herb,NA,epizoochory,0.9653333333333334
Phoringopsis,herb,NA,NA,NA
Phragmites,tussock,none,epizoochory hydrochory,0.104048
Plexaure,herb,NA,NA,NA
Rhipidorchis,herb,NA,NA,NA
Phyla,herb,NA,NA,0.36475
Phyllangium,herb,NA,zoochory,0.0327806
Physalis,shrub,NA,NA,1.1216
Picris,herb,pappus,anemochory,0.9402571428571428
Pilea,herb,NA,NA,NA
Pilularia,herb,NA,barochory,0.001
Pisonia,tree,NA,zoochory,99.34643333333334
Pitaviaster,tree,NA,NA,NA
Pittosporum,tree,none,zoochory,12.471635072463767
Planchonella,tree,NA,zoochory,658.0146666666667
Planchonia,tree,NA,zoochory,104.8
Plantago,herb,none,undefined,0.6074740153846154
Platycerium,tree,NA,anemochory,0.001
Platychorda,herb,NA,NA,NA
Plectorrhiza,herb,NA,anemochory,NA
Plesioneuron,fern,NA,NA,NA
Pleurocarpaea,shrub,NA,barochory,6.68
Plinthanthesis,tussock,NA,epizoochory,0.3264
Pluchea,subshrub,NA,anemochory hydrochory,0.1751453076923077
Pneumatopteris,fern,NA,anemochory,NA
Polianthion,shrub,NA,NA,NA
Polycarpaea,herb subshrub,NA,zoochory,0.04743529411764706
Polygala,subshrub,NA,zoochory,3.77277466
Polystichum,herb,NA,anemochory,0.001
Pomatocalpa,herb,NA,NA,NA
Pontederia,herb,NA,endozoochory,0.1148
Posidonia,herb,floating_seed,hydrochory,NA
Potamogeton,herb,floating_seed,undefined,3.18059
Potamophila,herb,NA,NA,0.316
Pothos,herb,NA,endozoochory,124.5
Praecoxanthus,herb,NA,NA,NA
Premna,tree,NA,zoochory,17.70232
Pronephrium,herb,NA,anemochory,0.001
Prosaptia,fern,NA,NA,NA
Psammagrostis,herb,NA,NA,NA
Pseudopogonatherum,tussock,none,epizoochory,0.575
Pseudovanilla,herb,NA,NA,NA
Pteridium,shrub,NA,barochory,0.003
Pteridrys,fern,NA,NA,NA
Pteris,herb,NA,anemochory,0.001
Pterocaulon,shrub,pappus,anemochory,0.03936
Ptisana,fern palmoid,NA,NA,NA
Ptychosperma,tree,NA,zoochory,237.2375
Puccinellia,tussock,none,epizoochory,0.3349
Pyrorchis,herb,NA,anemochory,0.003
Pyrrosia,herb,NA,anemochory,0.001
Quisqualis,shrub,NA,NA,NA
Remusatia,herb,NA,NA,NA
Rhadinothamnus,shrub,NA,NA,NA
Rhagodia,subshrub,none,zoochory,1.4404254545454545
Rhamnella,climber_woody shrub,NA,endozoochory,23
Rhamnus,shrub tree,NA,NA,11.832
Rhaphidophora,climber_woody tree,NA,endozoochory,0.18
Rhaponticum,herb,NA,anemochory,17.778
Rhinerrhiza,herb,NA,NA,NA
Rhizanthella,herb,NA,NA,NA
Rhododendron,shrub tree,NA,NA,NA
Zeuxine,herb,NA,NA,NA
Rhopalostylis,palmoid,NA,NA,NA
Vincetoxicum,shrub,wing_or_plume,anemochory,10.341389183333334
Rhytidosporum,subshrub,none,zoochory,0.9043076923076923
Rimacola,herb,NA,NA,NA
Robiquetia,herb,NA,NA,NA
Rorippa,herb,NA,epizoochory,0.2995333333333333
Rottboellia,tussock,none,anemochory,16.6488
Roycea,shrub,NA,NA,2.2
Rumohra,fern,NA,anemochory,NA
Ruppia,herb,floating_seed,hydrochory,2.566933333333333
Ryparosa,tree,NA,NA,NA
Saccolabiopsis,herb,NA,NA,NA
Sageretia,shrub,NA,endozoochory,19
Sagina,herb,NA,zoochory,0.23149070000000002
Goodyera,herb,NA,NA,NA
Salsola,subshrub,NA,anemochory,0.88
Sarcanthopsis,herb,NA,NA,NA
Sarcochilus,herb,NA,anemochory,0.001
Salicornia,shrub,NA,endozoochory,0.24102666666666667
Sarcolobus,climber_woody,NA,NA,NA
Sarcomelicope,tree,NA,NA,17.125
Oxystelma,herb,NA,NA,NA
